Target Mean,Target SD,Background Mean,Background SD,SNR,CNR,File
65499.84625,18.023425338639157,65510.60888888889,10.9318255509564,3634.150835334251,0.9845234758569434,10FFF_0_RI.1.2.246.352.62.1.5256797380986147081.7509215527051679670.dcm
64741.829375,33.5429800719819,64772.37777777778,25.380078704797754,1930.1156079771865,1.2036370388403737,10FFF_RI.1.2.246.352.62.1.4850258186739207111.11635364747359898794.dcm
65501.278125,18.280030675148634,65512.072222222225,10.355047376658376,3583.214891102332,1.0423995979544254,10x_0_RI.1.2.246.352.62.1.4735047496355120017.9309727071278939014.dcm
65312.1725,21.743596614865716,65328.77333333333,14.933175594405007,3003.742833204844,1.1116746889087703,10x_RI.1.2.246.352.62.1.5139667213306248108.15141865469694640256.dcm
65497.493125,18.856662025246543,65508.16444444445,11.133017072465238,3473.4404762257304,0.9585289751183811,18x_0_RI.1.2.246.352.62.1.4998830927940248431.12391452003569925301.dcm
65325.959375,22.273644169946124,65343.57777777778,15.629941194015897,2932.881520265303,1.127221309349744,18x_RI.1.2.246.352.62.1.5095877014396952346.16830256439610370993.dcm
65491.665625,18.75130177772666,65502.21111111111,11.305647010277106,3492.6463453749598,0.9327627248153496,6FFF_0_RI.1.2.246.352.62.1.5120501814245622846.461649376578488497.dcm
64803.854375,32.91858393611996,64828.21666666667,26.64884300177652,1968.610025897678,0.9141969752698248,6FFF_RI.1.2.246.352.62.1.5031476367254904245.2966016436860841146.dcm
65491.7375,18.58137087918973,65502.90555555555,11.165172647429756,3524.591265402689,1.000258205422492,6x_0_RI.1.2.246.352.62.1.5496833008126651047.6261784457244987024.dcm
65235.620625,22.666753177492694,65254.38444444445,16.189948260922826,2878.031101947884,1.1589795805422076,6x_RI.1.2.246.352.62.1.5509884954726432433.10571831159132000405.dcm
65507.46375,17.43613162193667,65517.94222222222,9.926115697467273,3756.9952539004717,1.0556467949382455,kV_RI.1.2.246.352.62.1.4970675203185887936.11810152825548213149.dcm
